"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"1",1,200050837,2020-12-26,"2020","12","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Kannapolis","OOS","NC","White","Man",38,"30-39","Public"
"2",2,200050065,2020-12-20,"2020","12","Crime","Part II - Violent","CA","Arrest","Assault","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Man",23,"18-29","Public"
"3",3,200049874,2020-12-19,"2020","12","Crime","Part I - Property","CA","Arrest","Larceny","Ward 6","OOC","Berwyn Heights","Prince George's","MD","Black","Man",31,"30-39","Public"
"4",4,200049874,2020-12-19,"2020","12","Crime","Part I - Property","CA","Arrest","Larceny","Ward 6","OOC","Hyattsville","Prince George's","MD","White","Woman",31,"30-39","Public"
"5",5,200049342,2020-12-15,"2020","12","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 1","OOC","Washington","DC","DC","Hispanic","Man",42,"40-49","Public"
"6",6,200047813,2020-12-04,"2020","12","Crime","Part I - Violent","CA","Arrest","Aggravated Assault","Ward 5","UNK","UNK","UNK","UNK","Black","Man",24,"18-29","Public"
"7",7,200047103,2020-12-02,"2020","12","Crime","Part II - Violent","CA","Arrest","Assault","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",35,"30-39","Public"
"8",8,200047513,2020-12-02,"2020","12","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 3","OOC","Hyattsville","Prince George's","MD","Black","Man",40,"40-49","Public"
"9",9,200046716,2020-11-26,"2020","11","Crime","Part II - Violent","CA","Arrest","Assault","Ward 6","UNK","UNK","UNK","UNK","White","Man",43,"40-49","Public"
"10",10,200046371,2020-11-24,"2020","11","Crime","Part II - Violent","CA","Arrest","Assault","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",28,"18-29","Public"
"11",11,200045943,2020-11-21,"2020","11","Crime","Part II - Violent","CA","Arrest","Assault","Ward 2","Ward 2","Takoma Park","Takoma Park (MC)","MD","White","Man",38,"30-39","Public"
