"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"1",1496,200051279,2020-12-29,"2020","12","Traffic","Part II - Vice","CA","Arrest","CDS: Felony Marijuana","Ward 2","OOC","Hyattsville","Prince George's","MD","Black","Man",18,"18-29","Officer"
"2",1497,200050884,2020-12-27,"2020","12","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",28,"18-29","Officer"
"3",1498,200049952,2020-12-21,"2020","12","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Hyattsville","Prince George's","MD","White","Man",41,"40-49","Public"
"4",1499,200049074,2020-12-14,"2020","12","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Hyattsville","Prince George's","MD","White","Man",18,"18-29","Detail"
"5",1500,200049240,2020-12-14,"2020","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","Washington","DC","DC","Black","Man",36,"30-39","Public"
"6",1501,200047871,2020-12-05,"2020","12","Traffic","Part II - Vice","CA","Arrest","CDS: Marijuana","Ward 1","OOC","Charlotte","OOS","NC","Black","Woman",28,"18-29","Officer"
"7",1502,200046882,2020-11-30,"2020","11","Traffic","Part II - Safety","CA","Arrest","DUI","OOC","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",28,"18-29","Detail"
"8",1503,200047024,2020-11-30,"2020","11","Traffic","Part II - Safety","CA","Arrest","DUI","OOC","OOC","Silver Spring","Montgomery","MD","Black","Man",32,"30-39","Detail"
"9",1504,200046451,2020-11-24,"2020","11","Traffic","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","UNK","UNK","UNK","UNK","Black","Man",66,"60-69","Officer"
"10",1505,200046305,2020-11-23,"2020","11","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","Ward 3","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",28,"18-29","Officer"
"11",1506,200045117,2020-11-16,"2020","11","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",20,"18-29","Officer"
"12",1507,200043730,2020-11-10,"2020","11","Traffic","Part II - Vice","CA","Arrest","CDS: Marijuana","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",21,"18-29","Officer"
"13",1508,200043520,2020-11-04,"2020","11","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Beltsville","Prince George's","MD","Hispanic","Man",62,"60-69","Public"
"14",1509,200040726,2020-10-15,"2020","10","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Laurel","Prince George's","MD","White","Man",24,"18-29","Officer"
"15",1510,200040000,2020-10-11,"2020","10","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Silver Spring","Montgomery","MD","White","Woman",30,"30-39","Officer"
"16",1511,200038057,2020-09-28,"2020","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Rockville","Montgomery","MD","Hispanic","Man",39,"30-39","Officer"
"17",1512,200038066,2020-09-28,"2020","09","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Washington","DC","DC","Black","Man",42,"40-49","Officer"
"18",1513,200037448,2020-09-24,"2020","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Washington","DC","DC","Hispanic","Man",39,"30-39","Officer"
"19",1514,200037565,2020-09-24,"2020","09","Traffic","Part I - Property","CRC","Criminal citation","Larceny","Ward 3","Ward 2","Takoma Park","Takoma Park (MC)","MD","Black","Man",57,"50-59","Detail"
"20",1515,200036699,2020-09-19,"2020","09","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 2","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",25,"18-29","Officer"
"21",1516,200035928,2020-09-13,"2020","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","TP unincorporated (MC)","Montgomery","MD","Hispanic","Man",24,"18-29","Public"
"22",1517,200035594,2020-09-11,"2020","09","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 2","OOC","Severn","Anne Arundel","MD","Black","Man",35,"30-39","Detail"
"23",1518,200035098,2020-09-08,"2020","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Washington","DC","DC","Black","Man",30,"30-39","Officer"
"24",1519,200034592,2020-09-04,"2020","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Alexandria","VA","VA","Hispanic","Man",42,"40-49","Officer"
"25",1520,200030756,2020-08-07,"2020","08","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","UNK","UNK","UNK","UNK","Hispanic","Man",41,"40-49","Officer"
"26",1521,200027976,2020-07-19,"2020","07","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 4","Ward 4","Takoma Park","Takoma Park (MC)","MD","Black","Woman",41,"40-49","Public"
"27",1522,200012688,2020-03-15,"2020","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Rockville","Montgomery","MD","Hispanic","Man",19,"18-29","Officer"
"28",1523,200011255,2020-03-08,"2020","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",50,"50-59","Public"
"29",1524,200011329,2020-03-07,"2020","03","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 2","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",23,"18-29","Officer"
"30",1525,200009438,2020-02-26,"2020","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Washington","DC","DC","White","Woman",23,"18-29","Public"
"31",1526,200009438,2020-02-26,"2020","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Washington","DC","DC","White","Woman",39,"30-39","Public"
"32",1527,200007988,2020-02-17,"2020","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Hyattsville","Prince George's","MD","White","Man",44,"40-49","Officer"
"33",1528,200007646,2020-02-15,"2020","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Abingdon","Harford","MD","Black","Man",23,"18-29","Officer"
"34",1529,200006674,2020-02-09,"2020","02","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 3","OOC","Silver Spring","Montgomery","MD","Black","Man",48,"40-49","Officer"
"35",1530,200006545,2020-02-09,"2020","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","Ward 2","Takoma Park","Takoma Park (MC)","MD","Black","Man",47,"40-49","Public"
"36",1531,200004510,2020-01-28,"2020","01","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Adelphi","Prince George's","MD","Black","Woman",30,"30-39","Public"
"37",1532,190059810,2020-01-15,"2020","01","Traffic","Part II - Safety","CA","Arrest","DUI","OOC","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",26,"18-29","Officer"
"38",1533,200002501,2020-01-15,"2020","01","Traffic","Part II - Vice","CA","Arrest","CDS: Marijuana","Ward 2","Ward 6","Takoma Park","Takoma Park (MC)","MD","Black","Man",30,"30-39","Officer"
"39",1534,190057678,2019-12-01,"2019","12","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 3","OOC","TP unincorporated (PG)","Prince George's","MD","Hispanic","Man",25,"18-29","Officer"
"40",1535,190057403,2019-11-28,"2019","11","Traffic","Part II - Safety","CA","Arrest","DUI","OOC","OOC","Silver Spring","Montgomery","MD","Black","Woman",53,"50-59","Detail"
"41",1536,190056373,2019-11-22,"2019","11","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Rockville","Montgomery","MD","Black","Man",37,"30-39","Officer"
"42",1537,190055951,2019-11-20,"2019","11","Traffic","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","OOC","Hyattsville","Prince George's","MD","Black","Man",36,"30-39","Officer"
"43",1538,190055251,2019-11-16,"2019","11","Traffic","Part II - Safety","CA","Arrest","DUI","OOC","OOC","Upper Marlboro","Prince George's","MD","Black","Man",55,"50-59","Detail"
"44",1539,190053954,2019-11-09,"2019","11","Traffic","Part II - Vice","CA","Arrest","CDS: Prescription","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",25,"18-29","Officer"
"45",1540,190052240,2019-11-04,"2019","11","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","UNK","UNK","UNK","UNK","Hispanic","Man",19,"18-29","Public"
"46",1541,190051612,2019-10-27,"2019","10","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",60,"60-69","Officer"
"47",1542,190050502,2019-10-21,"2019","10","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Woman",37,"30-39","Detail"
"48",1543,190049137,2019-10-13,"2019","10","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",36,"30-39","Officer"
"49",1544,190043805,2019-09-13,"2019","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 1","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",25,"18-29","Officer"
"50",1545,190041132,2019-08-28,"2019","08","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",35,"30-39","Officer"
"51",1546,190040107,2019-08-22,"2019","08","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Marijuana","Ward 6","OOC","Washington","DC","DC","Hispanic","Man",18,"18-29","Officer"
"52",1547,190038742,2019-08-14,"2019","08","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Washington","DC","DC","Black","Man",30,"30-39","Public"
"53",1548,190038114,2019-08-10,"2019","08","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",25,"18-29","Officer"
"54",1549,190034436,2019-08-07,"2019","08","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","College Park","Prince George's","MD","Black","Man",21,"18-29","Officer"
"55",1550,190035336,2019-08-02,"2019","08","Traffic","Part II - Vice","CA","Arrest","CDS: Felony Marijuana","Ward 6","OOC","Washington","DC","DC","Black","Man",32,"30-39","Officer"
"56",1551,190035711,2019-07-27,"2019","07","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 3","OOC","Riverdale","Prince George's","MD","Black","Man",40,"40-49","Officer"
"57",1552,190031885,2019-07-08,"2019","07","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Washington","DC","DC","Hispanic","Man",58,"50-59","Public"
"58",1553,190029229,2019-06-21,"2019","06","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Bridgeton","OOS","NJ","Hispanic","Man",34,"30-39","Officer"
"59",1554,190028163,2019-06-13,"2019","06","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 4","Ward 5","Takoma Park","Takoma Park (MC)","MD","White","Woman",22,"18-29","Public"
"60",1555,190023767,2019-05-20,"2019","05","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 3","OOC","Adelphi","Prince George's","MD","Hispanic","Man",54,"50-59","Public"
"61",1556,190023343,2019-05-19,"2019","05","Traffic","Part II - Vice","CA","Arrest","CDS: Heroin","Ward 6","OOC","Washington","DC","DC","Black","Man",44,"40-49","Officer"
"62",1557,190022199,2019-05-13,"2019","05","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",41,"40-49","Officer"
"63",1558,190018437,2019-04-20,"2019","04","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Brentwood","Prince George's","MD","Hispanic","Man",34,"30-39","Public"
"64",1559,190017521,2019-04-15,"2019","04","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Montgomery Village","Montgomery","MD","Hispanic","Man",37,"30-39","Public"
"65",1560,190014089,2019-03-30,"2019","03","Traffic","Part II - Vice","CA","Arrest","CDS: Felony Marijuana","Ward 2","OOC","Silver Spring","Montgomery","MD","Black","Man",26,"18-29","Officer"
"66",1561,190014706,2019-03-30,"2019","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Laurel","Anne Arundel","MD","Hispanic","Man",28,"18-29","Detail"
"67",1562,190013855,2019-03-26,"2019","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",42,"40-49","Officer"
"68",1563,190011041,2019-03-10,"2019","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Adelphi","Prince George's","MD","Hispanic","Man",31,"30-39","Officer"
"69",1564,190007908,2019-02-19,"2019","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","White","Woman",51,"50-59","Public"
"70",1565,190000584,2019-01-06,"2019","01","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Plantation","OOS","FL","White","Man",34,"30-39","Officer"
"71",1566,190000715,2019-01-06,"2019","01","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",39,"30-39","Officer"
"72",1567,190000093,2019-01-04,"2019","01","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",42,"40-49","Officer"
"73",1568,180064371,2018-12-25,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",40,"40-49","Public"
"74",1569,180062127,2018-12-23,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 4","OOC","TP unincorporated (PG)","Prince George's","MD","Black","Man",52,"50-59","Officer"
"75",1570,180063954,2018-12-22,"2018","12","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Paraphernalia","Ward 6","OOC","Gaithersburg","Montgomery","MD","Black","Man",24,"18-29","Officer"
"76",1571,180063052,2018-12-20,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","Rockville","Montgomery","MD","Hispanic","Man",38,"30-39","Public"
"77",1572,180063070,2018-12-18,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","UNK","UNK","UNK","UNK","Hispanic","Man",39,"30-39","Officer"
"78",1573,180062607,2018-12-15,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",22,"18-29","Detail"
"79",1574,170541971,2018-12-12,"2018","12","Traffic","Part II - Vice","APP","Application for charges","CDS: Marijuana","Ward 5","OOC","Silver Spring","Montgomery","MD","Black","Man",51,"50-59","Detail"
"80",1575,170541971,2018-12-12,"2018","12","Traffic","Part II - Vice","APP","Application for charges","CDS: Marijuana","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Woman",58,"50-59","Detail"
"81",1576,180052613,2018-12-10,"2018","12","Traffic","Part II - Nuisance","CA","Arrest","Disorderly Conduct","Ward 5","OOC","Washington","DC","DC","Black","Man",36,"30-39","Officer"
"82",1577,180061346,2018-12-08,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","OOC","OOC","Montgomery Village","Montgomery","MD","Hispanic","Man",26,"18-29","Detail"
"83",1578,180060176,2018-12-03,"2018","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",33,"30-39","Detail"
"84",1579,180058152,2018-11-24,"2018","11","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 5","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",20,"18-29","Detail"
"85",1580,180051589,2018-10-15,"2018","10","Traffic","Part II - Safety","CA","Arrest","Weapons Violation","Ward 6","OOC","Washington","DC","DC","Black","Man",39,"30-39","Officer"
"86",1581,180049251,2018-10-10,"2018","10","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Washington","DC","DC","Black","Man",26,"18-29","Officer"
"87",1582,180048849,2018-10-08,"2018","10","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Mount Jackson","VA","VA","Black","Man",29,"18-29","Officer"
"88",1583,180043755,2018-09-06,"2018","09","Traffic","Part II - Vice","CA","Arrest","CDS: Heroin","Ward 6","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",41,"40-49","Officer"
"89",1584,180044031,2018-09-04,"2018","09","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 3","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",38,"30-39","Public"
"90",1585,180041207,2018-08-27,"2018","08","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Lynchburg","VA","VA","Hispanic","Man",50,"50-59","Officer"
"91",1586,180040646,2018-08-20,"2018","08","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Marijuana","Ward 1","UNK","UNK","UNK","UNK","Black","Man",29,"18-29","Officer"
"92",1587,180039681,2018-08-15,"2018","08","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 3","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",23,"18-29","Public"
"93",1588,180038813,2018-08-05,"2018","08","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",32,"30-39","Detail"
"94",1589,180037157,2018-07-27,"2018","07","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",28,"18-29","Officer"
"95",1590,180031478,2018-07-10,"2018","07","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Waldorf","Charles","MD","Black","Woman",34,"30-39","Officer"
"96",1591,180032569,2018-07-02,"2018","07","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",24,"18-29","Officer"
"97",1592,180010544,2018-06-28,"2018","06","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 3","Ward 2","Takoma Park","Takoma Park (MC)","MD","Black","Man",28,"18-29","Detail"
"98",1593,180010280,2018-06-18,"2018","06","Traffic","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","OOC","Washington","DC","DC","Black","Man",25,"18-29","Detail"
"99",1594,180028490,2018-06-10,"2018","06","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 2","OOC","Washington","DC","DC","Black","Man",35,"30-39","Officer"
"100",1595,180027573,2018-06-06,"2018","06","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",27,"18-29","Officer"
"101",1596,180025109,2018-06-05,"2018","06","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 2","Ward 5","Takoma Park","Takoma Park (MC)","MD","Black","Man",39,"30-39","Officer"
"102",1597,180021579,2018-05-03,"2018","05","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Washington","DC","DC","Hispanic","Man",35,"30-39","Public"
"103",1598,170539090,2018-04-30,"2018","04","Traffic","Miscellaneous","APP","Application for charges","All Other - Criminal","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",39,"30-39","Officer"
"104",1599,180019076,2018-04-24,"2018","04","Traffic","Part II - Vice","CA","Arrest","CDS: Marijuana","Ward 6","OOC","New Carrollton","Prince George's","MD","Black","Man",26,"18-29","Officer"
"105",1600,180018201,2018-04-15,"2018","04","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 3","OOC","Silver Spring","Montgomery","MD","Black","Man",24,"18-29","Public"
"106",1601,180017535,2018-04-11,"2018","04","Traffic","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 2","OOC","Washington","DC","DC","Black","Man",28,"18-29","Officer"
"107",1602,180016829,2018-04-08,"2018","04","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",57,"50-59","Public"
"108",1603,180016927,2018-04-07,"2018","04","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 2","Ward 6","Takoma Park","Takoma Park (MC)","MD","Black","Man",29,"18-29","Officer"
"109",1604,180016625,2018-04-05,"2018","04","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","OOC","OOC","TP unincorporated (PG)","Prince George's","MD","Black","Man",28,"18-29","Officer"
"110",1605,180015861,2018-04-04,"2018","04","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Alexandria","VA","VA","Black","Man",23,"18-29","Public"
"111",1606,180015374,2018-03-30,"2018","03","Traffic","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 6","OOC","Baltimore","Baltimore","MD","White","Woman",29,"18-29","Detail"
"112",1607,180012354,2018-03-15,"2018","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",38,"30-39","Officer"
"113",1608,180012714,2018-03-14,"2018","03","Traffic","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 5","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",35,"30-39","Detail"
"114",1609,180012030,2018-03-13,"2018","03","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","Ward 4","Takoma Park","Takoma Park (MC)","MD","Black","Man",26,"18-29","Detail"
"115",1610,180012080,2018-03-11,"2018","03","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Cocaine","Ward 3","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",38,"30-39","Officer"
"116",1611,170540278,2018-03-08,"2018","03","Traffic","Part II - Vice","APP","Application for charges","CDS: PCP","Ward 5","Ward 2","Takoma Park","Takoma Park (MC)","MD","Black","Man",50,"50-59","Detail"
"117",1612,180010724,2018-03-06,"2018","03","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","Ward 4","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",21,"18-29","Public"
"118",1613,180010376,2018-02-28,"2018","02","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Bryans Road","Charles","MD","Hispanic","Man",33,"30-39","Public"
"119",1614,180005401,2018-02-26,"2018","02","Traffic","Part II - Nuisance","CA","Arrest","Disorderly Conduct","Ward 3","OOC","Clarksburg","Montgomery","MD","Black","Man",23,"18-29","Detail"
"120",1615,180009879,2018-02-26,"2018","02","Traffic","Miscellaneous","CA","Arrest","All Other - Traffic","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",22,"18-29","Public"
"121",1616,180009660,2018-02-25,"2018","02","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Marijuana","Ward 2","OOC","Capitol Heights","Prince George's","MD","Black","Man",28,"18-29","Detail"
"122",1617,180008912,2018-02-21,"2018","02","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Cocaine","Ward 3","OOC","Fairfax","VA","VA","Black","Man",56,"50-59","Detail"
"123",1618,180008912,2018-02-21,"2018","02","Traffic","Part II - Vice","CRC","Criminal citation","CDS: Cocaine","Ward 3","OOC","Washington","DC","DC","Black","Woman",37,"30-39","Detail"
"124",1619,180008326,2018-02-19,"2018","02","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 1","OOC","Washington","DC","DC","Black","Man",34,"30-39","Public"
"125",1620,180005197,2018-01-31,"2018","01","Traffic","Part II - Vice","CA","Arrest","CDS: Felony Marijuana","Ward 6","OOC","Columbia","Howard","MD","Black","Man",21,"18-29","Detail"
"126",1621,180004331,2018-01-30,"2018","01","Traffic","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 3","OOC","Silver Spring","Montgomery","MD","Black","Man",22,"18-29","Detail"
